timestamp,voltage_V,current_A,power_W
0.230,5.4212,-0.00025,0.013
0.335,5.4100,-0.00200,0.000
0.361,5.4188,-0.00075,0.000
0.391,5.4125,-0.00075,0.000
0.416,5.4162,-0.00200,0.013
0.442,5.4062,-0.00275,0.013
0.467,5.4125,-0.00275,0.013
0.493,5.4188,-0.00200,0.019
0.519,5.4125,-0.00025,0.013
0.545,5.4125,-0.00200,0.013
0.571,5.4250,-0.00150,0.013
0.597,5.4162,-0.00150,0.013
0.625,5.4162,-0.00150,0.000
0.651,5.4188,-0.00200,0.013
0.678,5.4212,-0.00075,0.013
0.704,5.4162,-0.00150,0.000
0.730,5.4162,-0.00150,0.013
0.758,5.4125,-0.00075,0.013
0.799,5.4188,-0.00150,0.000
0.829,5.4212,-0.00150,0.013
0.877,5.4212,-0.00075,0.013
0.923,5.4250,-0.00200,0.013
0.961,5.4162,-0.00150,0.000
0.990,5.4162,-0.00200,0.013
1.018,5.4250,-0.00200,0.013
1.048,5.4212,-0.00200,0.000
1.075,5.4250,-0.00025,0.000
1.102,5.4125,-0.00275,0.013
1.128,5.4188,-0.00150,0.013
1.156,5.4162,-0.00150,0.000
1.184,5.4188,-0.00200,0.000
1.212,5.4162,-0.00275,0.013
1.239,5.4188,-0.00025,0.000
1.274,5.4188,-0.00200,0.013
1.303,5.4188,-0.00275,0.013
1.330,5.4125,-0.00075,0.013
1.356,5.4188,-0.00075,0.013
1.382,5.4162,-0.00150,0.013
1.407,5.4162,-0.00150,0.019
1.434,5.4188,-0.00075,0.000
1.460,5.4162,-0.00075,0.013
1.485,5.4188,-0.00025,0.013
1.510,5.4188,-0.00150,0.013
1.535,5.4125,0.00050,0.013
1.560,5.4125,-0.00150,0.000
1.585,5.4162,-0.00150,0.013
1.611,5.4188,-0.00025,0.013
1.636,5.4188,-0.00200,0.013
1.662,5.4162,-0.00200,0.013
1.687,5.4212,-0.00075,0.000
1.712,5.4188,-0.00150,0.000
1.737,5.4188,-0.00150,0.013
1.762,5.4125,-0.00150,0.000
1.787,5.4162,-0.00150,0.000
1.812,5.4212,-0.00025,0.013
1.837,5.4212,-0.00150,0.000
1.862,5.4188,-0.00075,0.000
1.887,5.4162,-0.00200,0.013
1.913,5.4188,-0.00200,0.000
1.939,5.4100,-0.00150,0.000
1.964,5.4162,-0.00075,0.013
1.990,5.4125,-0.00200,0.000
2.015,5.4212,-0.00200,0.013
2.040,5.4162,-0.00150,0.000
2.066,5.4212,-0.00075,0.000
2.091,5.4188,-0.00150,0.000
2.116,5.4162,-0.00025,0.000
2.142,5.4125,-0.00150,0.013
2.167,5.4212,-0.00325,0.000
2.193,5.4162,-0.00275,0.000
2.219,5.4162,-0.00075,0.000
2.244,5.4212,-0.00200,0.000
2.270,5.4162,-0.00075,0.013
2.295,5.4188,0.00050,0.013
2.320,5.4188,-0.00200,0.000
2.346,5.4188,-0.00150,0.000
2.371,5.4125,-0.00150,0.013
2.397,5.4100,-0.00200,0.013
2.422,5.4188,-0.00200,0.013
2.447,5.4162,-0.00075,0.013
2.472,5.4212,-0.00025,0.013
2.498,5.4188,-0.00200,0.000
2.524,5.4188,-0.00200,0.000
2.548,5.4162,-0.00200,0.013
2.574,5.4188,-0.00025,0.000
2.599,5.4125,-0.00025,0.013
2.623,5.4212,-0.00200,0.013
2.648,5.4275,-0.00075,0.013
