timestamp,voltage_V,current_A,power_W,soc_pct
0.3991,26.3650,0.93750,24.863,66.7
0.4009,26.3950,0.93800,25.613,67.8
0.4026,26.3950,0.94350,25.775,67.8
0.4041,26.3775,0.94175,25.675,67.1
0.4057,26.3987,0.93925,24.988,67.9
0.4072,26.3775,0.94550,24.963,67.1
0.4087,26.3900,0.94725,24.812,67.6
0.4102,26.3837,0.95325,25.163,67.3
0.4117,26.4013,0.95950,24.975,68.0
0.4132,26.3800,0.94475,24.994,67.2
0.4147,26.3500,0.97300,25.550,66.1
0.4162,26.3950,0.97800,25.356,67.8
0.4177,26.3738,0.97550,25.600,67.0
0.4192,26.3900,0.98175,25.200,67.6
0.4207,26.3800,0.94425,24.681,67.2
0.4222,26.3950,0.94775,24.925,67.8
0.4237,26.4112,0.95150,25.088,68.4
0.4252,26.4138,0.95400,25.138,68.4
0.4268,26.4013,0.96250,25.244,68.0
0.4285,26.3837,0.96700,25.100,67.3
0.4303,26.3925,0.94300,25.056,67.7
0.4348,26.3863,0.95650,25.138,67.4
0.4377,26.3925,0.94525,25.231,67.7
0.4410,26.3588,0.96325,24.963,66.4
0.4456,26.3650,0.95525,24.975,66.7
0.4478,26.3562,0.95700,25.038,66.3
0.4495,26.3925,0.94550,24.875,67.7
0.4512,26.4013,0.94100,24.850,68.0
0.4528,26.4112,0.95100,25.550,68.4
0.4544,26.3837,0.94300,25.663,67.3
0.4558,26.3712,0.94600,25.056,66.9
0.4572,26.3562,0.93550,24.956,66.3
0.4586,26.3925,0.96250,24.875,67.7
0.4601,26.3800,0.96575,25.169,67.2
0.4615,26.3800,0.95275,24.925,67.2
0.4631,26.3613,0.96250,25.056,66.5
0.4658,26.3950,0.94100,25.681,67.8
0.4675,26.3987,0.94475,25.444,67.9
0.4703,26.3837,0.94725,24.794,67.3
0.4731,26.3950,0.97300,25.038,67.8
0.4748,26.3863,0.97250,25.150,67.4
0.4782,26.3950,0.95650,25.038,67.8
0.4798,26.3950,0.95775,24.875,67.8
0.4813,26.3837,0.96875,25.275,67.3
0.4828,26.3950,0.96750,24.944,67.8
0.4842,26.3775,0.95575,24.863,67.1
0.4870,26.4013,0.96450,25.231,68.0
0.4885,26.3900,0.95650,25.119,67.6
0.4899,26.3925,0.95150,24.944,67.7
0.4916,26.3987,0.97175,24.906,67.9
0.4933,26.3800,0.95400,24.894,67.2
0.4948,26.3438,0.95825,25.019,65.9
0.4975,26.3712,0.96450,25.038,66.9
0.4991,26.3800,0.93550,25.163,67.2
0.5007,26.3837,0.94100,24.875,67.3
0.5022,26.3900,0.95100,25.700,67.6
0.5037,26.3950,0.95450,25.388,67.8
0.5052,26.3863,0.94175,24.825,67.4
0.5067,26.3800,0.94650,24.831,67.2
0.5083,26.3950,0.93925,24.975,67.8
0.5111,26.3900,0.95775,24.863,67.6
0.5140,26.3925,0.96325,25.200,67.7
0.5157,26.3738,0.96925,25.150,67.0
0.5173,26.3950,0.96925,25.506,67.8
0.5190,26.4075,1.00675,25.550,68.2
0.5209,26.3863,0.94650,24.606,67.4
0.5223,26.3738,0.94050,24.881,67.0
0.5238,26.4112,0.94300,25.500,68.4
0.5253,26.3775,0.94900,24.913,67.1
0.5268,26.3925,0.95100,25.744,67.7
0.5287,26.4138,0.93975,25.263,68.4
0.5306,26.3837,0.96875,25.244,67.3
0.5322,26.3837,0.97250,25.081,67.3
0.5337,26.3900,0.95825,25.038,67.6
0.5352,26.3775,0.95100,25.038,67.1
0.5367,26.3863,0.93300,25.388,67.4
0.5385,26.3775,0.94225,25.006,67.1
0.5402,26.3925,0.94050,25.025,67.7
0.5440,26.3863,0.93750,24.763,67.4
0.5458,26.3900,0.94475,24.781,67.6
0.5473,26.3925,0.94550,24.894,67.7
0.5488,26.3837,0.94775,24.906,67.3
0.5504,26.3837,0.94550,24.906,67.3
0.5519,26.3925,0.95900,25.194,67.7
0.5535,26.3775,0.95150,24.963,67.1
0.5562,26.3863,0.95650,24.963,67.4
0.5577,26.3900,0.95700,24.831,67.6
0.5592,26.4013,0.95575,24.894,68.0
0.5607,26.4013,0.95900,24.988,68.0
0.5635,26.3712,0.95400,24.988,66.9
0.5651,26.4075,0.97800,25.181,68.2
0.5667,26.3863,0.96925,25.050,67.4
0.5683,26.4138,0.96500,25.250,68.4
0.5698,26.3775,0.97375,25.138,67.1
0.5714,26.3900,0.95775,25.056,67.6
0.5742,26.3900,0.95100,25.050,67.6
0.5758,26.3925,0.94775,25.100,67.7
0.5773,26.3800,0.95450,24.850,67.2
0.5790,26.3987,0.93800,25.419,67.9
0.5806,26.3650,0.95150,25.200,66.7
0.5836,26.3925,0.95275,24.925,67.7
0.5855,26.3837,0.94350,25.069,67.3
0.5871,26.3987,0.94350,25.644,67.9
0.5886,26.4050,0.94350,25.219,68.1
0.5902,26.3950,0.93750,24.975,67.8
0.5920,26.3712,0.96875,24.763,66.9
0.5966,26.3900,0.94650,24.656,67.6
0.5982,26.4013,0.94900,24.763,68.0
0.5999,26.3900,0.95575,24.681,67.6
0.6015,26.3900,0.94550,24.963,67.6
0.6030,26.3837,0.95325,24.763,67.3
0.6045,26.3900,0.94775,24.794,67.6
0.6074,26.3837,0.93925,25.150,67.3
0.6105,26.3675,0.94050,25.581,66.7
0.6125,26.3800,0.94300,25.069,67.2
0.6141,26.3800,0.96750,25.344,67.2
0.6157,26.3950,0.98600,25.200,67.8
0.6189,26.3837,0.98975,25.406,67.3
0.6205,26.3863,0.97925,25.294,67.4
0.6219,26.3837,0.96750,25.675,67.3
0.6247,26.3613,0.98050,25.088,66.5
0.6262,26.3900,0.96250,25.331,67.6
0.6278,26.3900,0.96075,25.056,67.6
0.6308,26.3775,0.95950,25.650,67.1
0.6322,26.3775,0.95950,24.994,67.1
0.6337,26.3738,0.94475,24.781,67.0
0.6352,26.3987,0.94300,24.913,67.9
0.6368,26.3837,0.94725,25.006,67.3
0.6389,26.3775,0.93975,25.419,67.1
0.6406,26.3900,0.94100,25.406,67.6
0.6422,26.4112,0.93425,25.425,68.4
0.6439,26.3837,0.94725,25.475,67.3
0.6457,26.3837,0.93975,24.944,67.3
0.6473,26.3775,0.93425,25.025,67.1
0.6504,26.3800,0.93850,25.150,67.2
0.6520,26.3863,0.94425,25.469,67.4
0.6547,26.4075,0.94350,24.800,68.2
0.6562,26.3987,0.94100,25.356,67.9
0.6591,26.3738,0.94650,25.425,67.0
0.6606,26.3900,0.94350,25.219,67.6
0.6635,26.3800,0.94050,25.306,67.2
0.6650,26.3588,0.97000,26.381,66.4
